"","WBA.Close","XOM.Close","JNJ.Close","JPM.Close","VZ.Close","UTX.Close","INTC.Close","AXP.Close","MMM.Close","MCD.Close","CSCO.Close","PFE.Close","DWDP.Close","V.Close","CVX.Close","CAT.Close","MRK.Close","MSFT.Close","TRV.Close","NKE.Close","KO.Close","PG.Close","WMT.Close","DIS.Close","UNH.Close","GS.Close","AAPL.Close","HD.Close","BA.Close","IBM.Close"
"1",81.040001,82.940002,113.230003,84.949997,48.389999,108.18,36.52,76.760002,175.169998,122.419998,30.5,31.67,60.299999,82.440002,111,95.110001,62.099998,63.580002,116.540001,53.02,41.259998,87.330002,66.230003,111.300003,162.710007,230.669998,128.75,137.440002,163.970001,174.289993
"2",80.589996,83.449997,113.57,84.589996,48.279999,108.360001,36.68,76.510002,174.179993,123.220001,31.18,31.73,59.860001,82.300003,112.209999,93.769997,64.18,63.169998,117.629997,52.799999,41.400002,87.760002,66.699997,110.610001,160.759995,230.410004,128.529999,136.949997,162.259995,174.580002
"3",80.470001,83.540001,113.639999,87.18,48.580002,109.650002,36.52,78.040001,175.039993,124.239998,31.32,32.09,60.209999,86.080002,113.57,93.279999,64.290001,63.68,117.779999,52.360001,41.540001,87.410004,66.5,110.300003,161.869995,240.949997,129.080002,137.979996,162.399994,175.820007
"4",80.800003,83.309998,113.400002,86.769997,48.029999,110.68,36.27,77.82,175.100006,124.449997,31.299999,32.23,60.02,85.830002,112.980003,92.870003,64.940002,63.639999,117.669998,52.799999,41.560001,87.400002,66.400002,109.57,160.509995,239.979996,130.289993,136.490005,163.979996,175.860001
"5",81.43,82.769997,113.480003,86.720001,48.040001,111.25,36.349998,77.720001,175.759995,124.589996,31.450001,32.080002,59.790001,85.779999,111.389999,93.309998,64.199997,63.43,117.760002,52.810001,41.900002,88.010002,66.889999,109,160.529999,239.619995,131.529999,136.649994,166.5,178.460007
"6",81.529999,81.480003,113.400002,85.959999,48.369999,110.400002,36.380001,77.800003,177.070007,124.669998,31.27,32.139999,59.73,85.089996,111.580002,92.910004,64.32,63.34,117.809998,53.880001,42.02,88.330002,67.809998,109,160.309998,237.729996,132.039993,137.880005,163.809998,176.169998
"7",82.379997,81.839996,114.080002,87.199997,48.810001,110.089996,35.459999,78.18,178.179993,124.480003,31.5,32.380001,60.259998,85.580002,112.260002,93.959999,64.389999,64.059998,118.779999,55.310001,41.25,88.669998,69.080002,109.489998,160.440002,241.550003,132.419998,138.710007,164.279999,177.210007
"8",83.309998,82.519997,115.239998,87,48.98,111.050003,35.34,78.480003,179,125.82,31.51,32.349998,61.189999,85.900002,113.050003,96.309998,64.150002,64,119.730003,56.220001,40.580002,87.970001,68.019997,109.260002,160.75,242.720001,132.119995,139.850006,166.229996,178.679993
"9",83.43,83,115.879997,88.150002,48.549999,112.019997,35.799999,78.910004,181.020004,125.540001,31.969999,32.610001,61.560001,86.440002,113.910004,98.5,64.769997,64.720001,119.709999,56.09,40.619999,88.309998,67.769997,109.650002,161.990005,246.270004,133.289993,139.869995,168.029999,179.360001
"10",83.790001,82.82,116.360001,89.559998,48.27,111.57,35.93,79.410004,181.600006,125.809998,32.310001,32.75,61.720001,86.849998,112.519997,98.089996,65.660004,64.57,120.239998,56.450001,40.529999,87.860001,68.660004,110.330002,163.130005,249.460007,135.020004,141.360001,168.5,180.130005
"11",84.25,83.160004,117.199997,90.589996,48.080002,111.910004,36.049999,79.599998,181.699997,126.480003,32.82,33.509998,61.099998,87.540001,112.57,99.019997,65.160004,64.529999,120.980003,56.639999,40.439999,91.120003,68.690002,110.18,164.289993,250.539993,135.509995,142.190002,169.300003,181.679993
"12",85.650002,82.300003,118.080002,90.529999,48.459999,112.07,36.41,79.510002,183.410004,126.699997,33.599998,33.619999,61.41,87.410004,110.68,98.260002,65.260002,64.519997,121.790001,56.290001,41.200001,90.790001,68.870003,110.709999,163.649994,249.440002,135.350006,141.539993,170.809998,181.429993
"13",85.860001,81.760002,118.860001,90.230003,49.189999,112.150002,36.48,79.709999,182.949997,127.800003,33.740002,33.619999,61.259998,87.459999,110.330002,98.849998,65.389999,64.620003,121.949997,56.75,41.23,91.089996,69.370003,110.059998,157.619995,250.380005,135.720001,143,172.710007,180.669998
"14",86.410004,81.889999,119.660004,91.010002,49.43,112.5,36.52,79.970001,183.369995,128.039993,34.130001,33.619999,61.220001,87.919998,111.720001,98.099998,65.480003,64.489998,121.550003,57.360001,41.459999,91.669998,71.449997,110.010002,160.570007,251.759995,136.699997,145.020004,175.559998,180.259995
"15",86.290001,80.93,119.519997,91.059998,49.669998,112.660004,36.07,79.860001,186.039993,127.849998,34.09,33.59,63.669998,87.800003,110.379997,98.199997,65.290001,64.360001,121.900002,58.240002,41.599998,91.440002,71.709999,110.120003,160.570007,251.729996,137.110001,145.25,175.360001,181.149994
"16",86.989998,81.779999,121.699997,91.129997,50.310001,112.089996,36.18,80.050003,187.190002,128.270004,34.040001,34.060001,63.369999,88.18,111.019997,95.550003,65.849998,64.620003,122.360001,57.389999,41.66,91.129997,71.309998,109.730003,162.600006,251.190002,136.529999,144.710007,176.860001,181.649994
